"Name","Platform","Genre","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating"
"The Legend of Zelda: Twilight Princess","Wii","Action",7.15,95,73,89,1658,"T"
"Super Smash Bros. Melee","GC","Fighting",7.07,92,38,90,568,"T"
"Medal of Honor: Frontline","PS2","Shooter",6.83,88,29,84,135,"T"
"Uncharted 3: Drake's Deception","PS3","Action",6.74,92,97,82,3712,"T"
"Uncharted 2: Among Thieves","PS3","Action",6.66,96,105,87,5187,"T"
"World of Warcraft","PC","Role-Playing",6.29,93,57,72,2182,"T"
"Driver","PS","Action",6.27,87,22,80,78,"T"
"Final Fantasy XII","PS2","Role-Playing",5.95,92,64,75,972,"T"
"Tekken 2","PS","Fighting",5.74,89,8,88,102,"T"
"Destiny","PS4","Shooter",5.64,76,95,60,5380,"T"
"Monster Hunter Freedom Unite","PSP","Role-Playing",5.48,81,48,86,124,"T"
"Batman: Arkham City","PS3","Action",5.48,96,42,85,2162,"T"
"Uncharted 4: A Thief's End","PS4","Shooter",5.38,93,113,78,7064,"T"
"Final Fantasy XIII","PS3","Role-Playing",5.33,83,83,72,2483,"T"
"Final Fantasy IX","PS","Role-Playing",5.3,94,22,88,779,"T"
"Final Fantasy X-2","PS2","Role-Playing",5.29,85,45,65,400,"T"
"Dragon Quest VIII: Journey of the Cursed King","PS2","Role-Playing",5.21,89,63,87,245,"T"
"Medal of Honor: Rising Sun","PS2","Shooter",5.13,68,30,75,100,"T"
"Guitar Hero II","PS2","Misc",5.12,92,69,84,112,"T"
"Tony Hawk's Pro Skater","PS","Sports",5.02,92,18,91,69,"T"
"Guitar Hero III: Legends of Rock","PS2","Misc",4.98,82,24,81,46,"T"
"Link's Crossbow Training","Wii","Shooter",4.98,68,34,70,47,"T"
"Uncharted: Drake's Fortune","PS3","Action",4.92,88,66,80,2306,"T"
"StarCraft II: Wings of Liberty","PC","Strategy",4.84,93,82,81,3052,"T"
"Driver 2","PS","Action",4.73,62,14,76,92,"T"
"Batman: Arkham City","X360","Action",4.73,94,87,86,1472,"T"
"Tony Hawk's Pro Skater 2","PS","Sports",4.68,98,19,76,299,"T"
"The Lord of the Rings: The Two Towers","PS2","Action",4.67,82,32,81,78,"T"
"Tomb Raider","PS","Action",4.63,91,13,85,147,"T"
"Uncharted: The Nathan Drake Collection","PS4","Action",4.62,86,78,80,1264,"T"
"Guitar Hero III: Legends of Rock","Wii","Misc",4.6,86,36,83,87,"T"
"Guitar Hero III: Legends of Rock","X360","Misc",4.53,85,69,78,165,"T"
"Halo 5: Guardians","XOne","Shooter",4.48,84,101,63,2438,"T"
"Tony Hawk's Pro Skater 3","PS2","Sports",4.41,97,34,74,298,"T"
"Need for Speed: Most Wanted","PS2","Racing",4.37,82,36,90,137,"T"
"Batman: Arkham Asylum","PS3","Action",4.23,91,70,88,1122,"T"
"Street Fighter IV","PS3","Fighting",4.16,94,61,72,330,"T"
"World of Warcraft: The Burning Crusade","PC","Role-Playing",4.09,91,46,78,785,"T"
"Tekken Tag Tournament","PS2","Fighting",4.05,85,25,84,117,"T"
"Tony Hawk's Underground","PS2","Sports",3.9,90,38,86,121,"T"
"Monster Hunter 4 Ultimate","3DS","Role-Playing",3.89,86,80,86,348,"T"
"Tekken 5","PS2","Fighting",3.87,88,62,85,229,"T"
"MotorStorm","PS3","Racing",3.87,84,9,73,220,"T"
"The Sims: Unleashed","PC","Simulation",3.76,79,21,79,29,"T"
"Tony Hawk's Pro Skater 4","PS2","Sports",3.67,94,27,84,128,"T"
"Guitar Hero: World Tour","Wii","Misc",3.62,86,18,75,71,"T"
"Star Wars: Battlefront","PS2","Shooter",3.61,82,36,86,142,"T"
"The Simpsons: Road Rage","PS2","Racing",3.61,64,23,76,32,"T"
"Star Wars: Battlefront II","PS2","Shooter",3.59,84,30,89,268,"T"
"James Bond 007: Agent Under Fire","PS2","Shooter",3.53,72,27,78,48,"T"
"Batman: Arkham Asylum","X360","Action",3.48,92,78,86,1080,"T"
"Tekken 4","PS2","Fighting",3.44,79,23,82,126,"T"
"Grand Theft Auto 2","PS","Action",3.42,70,15,79,67,"T"
"Spider-Man 2","PS2","Action",3.41,80,50,88,106,"T"
"Destiny","XOne","Shooter",3.37,75,11,54,1735,"T"
"James Bond 007: Nightfire","PS2","Shooter",3.33,77,20,84,66,"T"
"Star Wars Episode III: Revenge of the Sith","PS2","Action",3.32,60,34,71,82,"T"
"The Lord of the Rings: The Return of the King","PS2","Action",3.28,85,31,86,105,"T"
"Enter the Matrix","PS2","Action",3.18,62,30,80,137,"T"
"Crisis Core: Final Fantasy VII","PSP","Role-Playing",3.18,83,67,79,463,"T"
"Dance Central","X360","Misc",3.17,82,63,75,85,"T"
"Dragon Ball Z: Budokai","PS2","Fighting",3.09,67,28,78,71,"T"
"The Sims: Vacation","PC","Simulation",3.07,75,18,77,22,"T"
"The Sims 4","PC","Simulation",3.05,70,74,38,2057,"T"
"Tom Clancy's Splinter Cell","XB","Action",3.02,93,46,84,121,"T"
"Dragon Ball Z: Budokai Tenkaichi 3","PS2","Fighting",3,73,24,91,173,"T"
"The Sims: Livin Large","PC","Misc",2.99,82,23,65,20,"T"
"Star Wars: The Old Republic","PC","Role-Playing",2.96,85,73,58,2748,"T"
"Street Fighter IV","X360","Fighting",2.94,93,77,72,292,"T"
"inFAMOUS","PS3","Action",2.93,85,98,82,1172,"T"
"Call of Duty: Finest Hour","PS2","Shooter",2.89,76,49,76,69,"T"
"The Elder Scrolls III: Morrowind","XB","Role-Playing",2.86,87,34,86,111,"T"
"Metroid Prime","GC","Shooter",2.82,97,70,92,747,"T"
"inFAMOUS: Second Son","PS4","Action",2.79,80,90,78,2944,"T"
"Jak II","PS2","Platform",2.78,87,47,81,241,"T"
"The Sims","PS2","Simulation",2.77,83,33,76,46,"T"
"Star Wars: The Force Unleashed","X360","Action",2.77,73,74,66,389,"T"
"Tekken 6","PS3","Fighting",2.75,79,63,73,211,"T"
"Call of Duty 3","X360","Shooter",2.7,82,71,64,233,"T"
"Burnout 3: Takedown","PS2","Racing",2.68,93,52,90,271,"T"
"Call Of Duty 2: Big Red One","PS2","Shooter",2.67,77,39,81,69,"T"
"Medal of Honor","PS","Shooter",2.67,92,17,85,80,"T"
"Guitar Hero: World Tour","X360","Misc",2.66,85,67,62,171,"T"
"Tom Clancy's Splinter Cell","PS2","Action",2.65,89,24,76,102,"T"
"Medal of Honor Heroes","PSP","Shooter",2.65,71,24,78,47,"T"
"Final Fantasy XIII-2","PS3","Role-Playing",2.63,79,53,65,707,"T"
"Midnight Club: Street Racing","PS2","Racing",2.63,78,18,77,21,"T"
"Skate 3","X360","Sports",2.63,80,65,79,127,"T"
"Halo Wars","X360","Strategy",2.62,82,92,71,454,"T"
"WWE SmackDown vs. RAW 2007","PS2","Fighting",2.58,80,27,85,57,"T"
"Monster Hunter Freedom 2","PSP","Role-Playing",2.57,72,38,86,83,"T"
"Crazy Taxi","PS2","Racing",2.52,80,15,78,46,"T"
"Marvel: Ultimate Alliance","X360","Role-Playing",2.5,82,68,74,120,"T"
"Rock Band","X360","Misc",2.47,92,72,81,178,"T"
"Final Fantasy Tactics","PS","Role-Playing",2.45,83,12,81,190,"T"
"Midnight Club: Los Angeles","PS3","Racing",2.45,82,50,81,100,"T"
"The Sims: Bustin' Out","PS2","Simulation",2.43,81,26,83,42,"T"
"Dragon Ball Z: Budokai 2","PS2","Fighting",2.41,66,28,81,92,"T"
"Guitar Hero","PS2","Misc",2.38,91,65,86,173,"T"
"The Incredibles","PS2","Action",2.37,62,36,75,22,"T"
"Tony Hawk's Underground 2","PS2","Sports",2.37,83,59,87,55,"T"
"Midnight Club: Los Angeles","X360","Racing",2.35,81,66,84,142,"T"
"WWE SmackDown vs Raw 2008","PS2","Fighting",2.34,71,11,71,31,"T"
"James Bond 007: Everything or Nothing","PS2","Shooter",2.31,84,42,90,51,"T"
"Guild Wars 2","PC","Action",2.31,90,69,78,2954,"T"
"Batman: Arkham Origins","PS3","Action",2.29,76,46,76,668,"T"
"The Sims 3","X360","Simulation",2.28,76,42,70,71,"T"
"Guitar Hero III: Legends of Rock","PS3","Misc",2.24,83,45,77,52,"T"
"Call of Duty 3","Wii","Shooter",2.24,69,42,66,61,"T"
"Dissidia: Final Fantasy","PSP","Fighting",2.23,79,61,79,139,"T"
"Prince of Persia: The Sands of Time","PS2","Action",2.22,92,44,87,204,"T"
"Monster Hunter Tri","Wii","Role-Playing",2.22,84,70,85,219,"T"
"Star Wars: The Force Unleashed","PS3","Action",2.21,71,47,65,233,"T"
"Guitar Hero II","X360","Misc",2.2,92,55,80,220,"T"
"Rock Band 2","X360","Misc",2.2,92,69,82,156,"T"
"Star Wars: Knights of the Old Republic","XB","Role-Playing",2.19,94,72,91,317,"T"
"Final Fantasy XIII","X360","Role-Playing",2.16,82,54,62,539,"T"
"The Sims: House Party","PC","Simulation",2.16,74,17,78,30,"T"
"Overwatch","PS4","Shooter",2.14,90,31,60,1358,"T"
"Call of Duty: Roads to Victory","PSP","Shooter",2.13,64,45,74,30,"T"
"Dynasty Warriors 4","PS2","Action",2.11,78,24,92,201,"T"
"World of Warcraft: Cataclysm","PC","Role-Playing",2.08,90,53,55,953,"T"
"Rock Band","Wii","Misc",2.08,80,21,62,37,"T"
"UFC 2009 Undisputed","X360","Fighting",2.06,83,68,78,51,"T"
"Metal Gear Solid: Peace Walker","PSP","Action",2.06,89,66,88,443,"T"
"SoulCalibur II","PS2","Fighting",2.06,92,41,87,120,"T"
"Need For Speed: Undercover","PS3","Racing",2.05,59,40,58,71,"T"
"SOCOM: U.S. Navy SEALs: Combined Assault","PS2","Shooter",2.04,72,38,89,34,"T"
"Peter Jackson's King Kong: The Official Game of the Movie","PS2","Action",2.04,82,41,81,68,"T"
"Dance Central 2","X360","Misc",2.04,86,56,81,63,"T"
"Call of Duty 2","X360","Shooter",2.03,89,65,80,307,"T"
"Fire Emblem: Awakening","3DS","Role-Playing",2.01,92,72,90,1130,"T"
"Need for Speed: The Run","PS3","Action",2.01,64,48,63,182,"T"
"Mortal Kombat vs. DC Universe","PS3","Fighting",2,76,44,70,107,"T"
"Skate 3","PS3","Sports",1.98,80,46,75,82,"T"
"Forza Horizon","X360","Racing",1.96,85,83,83,431,"T"
"Def Jam Vendetta","PS2","Fighting",1.94,80,33,88,41,"T"
"The Sims 3","PS3","Simulation",1.94,78,39,63,55,"T"
"Dragon Ball Z: Budokai 3","PS2","Fighting",1.94,77,32,88,137,"T"
"X-Men Legends","PS2","Role-Playing",1.93,79,48,84,69,"T"
"Mortal Kombat vs. DC Universe","X360","Fighting",1.93,72,61,74,87,"T"
"Destiny: The Taken King","PS4","Shooter",1.93,86,81,59,1079,"T"
"The Sims: Makin' Magic","PC","Simulation",1.92,80,22,85,31,"T"
"Guitar Hero: World Tour","PS3","Misc",1.92,84,43,74,80,"T"
"Star Wars Rogue Leader: Rogue Squadron II","GC","Simulation",1.9,90,45,85,80,"T"
"Batman: Arkham Origins","X360","Action",1.88,74,46,74,685,"T"
"Star Fox Adventures","GC","Adventure",1.87,82,39,76,145,"T"
"Dynasty Warriors 3","PS2","Action",1.87,78,17,90,90,"T"
"The Legend of Dragoon","PS","Role-Playing",1.86,74,12,83,248,"T"
"Star Wars: The Force Unleashed","Wii","Action",1.86,71,18,78,75,"T"
"Chrono Cross","PS","Role-Playing",1.86,94,16,80,297,"T"
"Jak 3","PS2","Platform",1.85,84,55,85,246,"T"
"inFAMOUS 2","PS3","Action",1.82,83,90,83,932,"T"
"World of Warcraft: Mists of Pandaria","PC","Role-Playing",1.82,82,42,47,1265,"T"
"The Sims: Hot Date","PC","Simulation",1.82,85,17,78,70,"T"
"Virtua Fighter 4","PS2","Fighting",1.81,94,36,79,84,"T"
"Metroid Prime 3: Corruption","Wii","Shooter",1.79,90,62,88,491,"T"
"Midnight Club II","PS2","Racing",1.78,85,41,84,47,"T"
"Dead or Alive 3","XB","Fighting",1.77,87,35,85,44,"T"
"UFC 2009 Undisputed","PS3","Fighting",1.76,84,58,80,47,"T"
"The Urbz: Sims in the City","PS2","Simulation",1.76,70,25,81,24,"T"
"Star Wars: Starfighter","PS2","Simulation",1.76,84,25,79,21,"T"
"Star Wars: Battlefront","XB","Shooter",1.75,80,55,90,57,"T"
"Xenosaga Episode I: Der Wille zur Macht","PS2","Role-Playing",1.74,83,35,86,99,"T"
"Kinect Star Wars","X360","Action",1.74,55,61,34,145,"T"
"Dragon Quest VI: Realms of Revelation","DS","Role-Playing",1.73,78,41,80,31,"T"
"The Crew","PS4","Racing",1.72,61,60,53,575,"T"
"Star Ocean: Till The End of Time","PS2","Role-Playing",1.72,80,55,76,134,"T"
"The Beatles: Rock Band","Wii","Misc",1.71,89,25,88,43,"T"
"Ace Combat 5: The Unsung War","PS2","Simulation",1.71,84,57,90,81,"T"
"The Sims 3: Late Night Expansion Pack","PC","Simulation",1.7,74,17,52,77,"T"
"No Man's Sky","PS4","Action",1.7,71,94,44,5096,"T"
"Need For Speed: Undercover","X360","Racing",1.68,64,62,58,104,"T"
"The Sims: Superstar","PC","Simulation",1.68,79,20,81,25,"T"
"Star Wars Battlefront: Renegade Squadron","PSP","Shooter",1.67,73,35,78,46,"T"
"Star Wars: Battlefront II","XB","Shooter",1.67,83,40,88,106,"T"
"Spy Hunter","PS2","Racing",1.67,84,28,77,13,"T"
"Fight Night Round 3","PS3","Fighting",1.67,83,37,78,24,"T"
"StarCraft II: Heart of the Swarm","PC","Strategy",1.67,86,68,78,1346,"T"
"Dragon Ball Z: Budokai Tenkaichi","PS2","Fighting",1.66,72,29,83,71,"T"
"Star Wars The Clone Wars: Lightsaber Duels","Wii","Action",1.65,56,24,66,18,"T"
"Heavenly Sword","PS3","Action",1.65,79,64,82,544,"T"
"Rock Band","PS3","Misc",1.62,92,35,83,107,"T"
"The Legend of Zelda: Twilight Princess","GC","Action",1.59,96,16,91,568,"T"
"SoulCalibur IV","X360","Fighting",1.58,85,62,78,157,"T"
"Conflict: Desert Storm","PS2","Shooter",1.57,55,10,85,45,"T"
"Smuggler's Run","PS2","Racing",1.56,79,21,67,18,"T"
"Fight Night Round 3","PS2","Fighting",1.56,84,32,80,41,"T"
"Need for Speed: Most Wanted","X360","Racing",1.56,83,54,84,134,"T"
"Stuntman","PS2","Racing",1.55,71,37,56,36,"T"
"Guitar Hero 5","Wii","Misc",1.55,89,25,68,49,"T"
"Dark Cloud","PS2","Role-Playing",1.54,80,27,81,99,"T"
"Warcraft III: The Frozen Throne","PC","Strategy",1.54,88,23,89,713,"T"
"Tom Clancy's Ghost Recon Advanced Warfighter","X360","Shooter",1.54,90,78,79,215,"T"
"Uncharted: Golden Abyss","PSV","Shooter",1.53,80,80,73,770,"T"
"The Simpsons Skateboarding","PS2","Sports",1.52,38,21,49,26,"T"
"Fight Night Round 4","PS3","Fighting",1.52,88,46,75,95,"T"
"The Simpsons Game","PS2","Action",1.51,68,10,81,27,"T"
"The Simpsons Game","DS","Action",1.51,69,17,72,18,"T"
"SoulCalibur II","GC","Fighting",1.5,93,45,90,135,"T"
"Call of Duty 3","PS3","Shooter",1.5,80,43,68,92,"T"
"Star Wars: The Force Unleashed II","PS3","Action",1.5,63,41,67,121,"T"
"Rock Band 2","PS3","Misc",1.49,91,24,78,88,"T"
"Final Fantasy: Crystal Chronicles","GC","Role-Playing",1.49,80,55,80,94,"T"
"Medal of Honor: Frontline","XB","Shooter",1.49,81,18,68,23,"T"
"Dirge of Cerberus: Final Fantasy VII","PS2","Shooter",1.48,57,51,68,103,"T"
"007: Quantum of Solace","X360","Action",1.48,65,69,70,71,"T"
"Fight Night 2004","PS2","Fighting",1.48,85,43,89,25,"T"
"Tom Clancy's Splinter Cell: Pandora Tomorrow","XB","Action",1.48,93,74,85,68,"T"
"Fight Night Round 3","X360","Fighting",1.47,86,67,87,264,"T"
"Xenogears","PS","Role-Playing",1.46,84,15,83,204,"T"
"SoulCalibur IV","PS3","Fighting",1.46,85,65,78,129,"T"
"Battlefield: Bad Company","X360","Shooter",1.46,83,70,76,263,"T"
"Star Wars: The Force Unleashed II","X360","Action",1.43,61,59,56,180,"T"
"WWE SmackDown vs Raw 2008","X360","Fighting",1.43,71,41,67,48,"T"
"Anno 2070","PC","Strategy",1.43,83,33,69,493,"T"
"Cabela's Big Game Hunter","PS2","Sports",1.42,59,7,77,12,"T"
"UFC Undisputed 2010","PS3","Fighting",1.41,85,54,71,48,"T"
"Fight Night Round 4","X360","Fighting",1.4,87,76,80,86,"T"
"Dynasty Warriors 5","PS2","Action",1.39,69,29,87,68,"T"
"Injustice: Gods Among Us","X360","Fighting",1.38,81,63,78,362,"T"
"Dave Mirra Freestyle BMX 2","PS2","Sports",1.38,81,21,80,18,"T"
"Star Wars Knights of the Old Republic II: The Sith Lords","XB","Role-Playing",1.37,86,67,85,140,"T"
"The Sims 2","PSP","Simulation",1.37,65,17,68,32,"T"
"Tom Clancy's Ghost Recon 2","XB","Shooter",1.36,80,53,88,58,"T"
"Need for Speed: The Run","X360","Action",1.36,68,65,59,160,"T"
"WWE '13","PS3","Action",1.35,76,24,80,99,"T"
"MotorStorm: Pacific Rift","PS3","Racing",1.35,82,63,79,318,"T"
"Samurai Warriors","PS2","Action",1.35,73,37,86,23,"T"
"Test Drive","PS2","Racing",1.34,73,19,73,23,"T"
"Metroid: Other M","Wii","Action",1.34,79,71,64,482,"T"
"Marvel vs. Capcom 3: Fate of Two Worlds","PS3","Fighting",1.34,84,56,72,147,"T"
"Monster Hunter Freedom","PSP","Role-Playing",1.34,71,34,85,78,"T"
"Lost Planet: Extreme Condition","X360","Shooter",1.34,79,76,70,187,"T"
"Battlefield: Bad Company","PS3","Shooter",1.34,84,50,80,203,"T"
"Alan Wake","X360","Action",1.33,83,100,80,1156,"T"
"Metroid Prime 2: Echoes","GC","Shooter",1.33,92,60,87,279,"T"
"WWE SmackDown vs Raw 2008","PS3","Fighting",1.33,74,27,72,41,"T"
"UFC Undisputed 2010","X360","Fighting",1.32,84,70,66,80,"T"
"World of Warcraft: Wrath of the Lich King","PC","Role-Playing",1.32,91,47,74,930,"T"
"Burnout 3: Takedown","XB","Racing",1.31,94,76,71,139,"T"
"The Beatles: Rock Band","X360","Misc",1.3,89,76,85,127,"T"
"SingStar '80s","PS2","Misc",1.3,78,22,82,6,"T"
"Tekken 6","X360","Fighting",1.3,80,59,69,132,"T"
"Transformers","PS2","Shooter",1.29,75,51,85,27,"T"
"Champions of Norrath","PS2","Role-Playing",1.28,85,51,83,57,"T"
"Castlevania: Symphony of the Night","PS","Platform",1.27,93,12,93,358,"T"
"Guitar Hero: Aerosmith","Wii","Misc",1.27,73,16,71,19,"T"
"The Sims 2: Nightlife","PC","Simulation",1.27,76,31,65,71,"T"
"Dark Souls II","PS3","Role-Playing",1.27,91,69,80,1107,"T"
"Tony Hawk's Underground","XB","Sports",1.27,85,33,90,26,"T"
".hack//Infection Part 1","PS2","Role-Playing",1.27,75,35,84,60,"T"
"Valkyria Chronicles","PS3","Role-Playing",1.27,86,60,85,433,"T"
"WWE '12","X360","Fighting",1.27,71,52,62,89,"T"
"Battle Arena Toshinden","PS","Fighting",1.27,69,4,62,4,"T"
"WWE '13","X360","Action",1.27,78,46,79,110,"T"
"Final Fantasy X / X-2 HD Remaster","PS3","Role-Playing",1.27,85,50,84,332,"T"
"Tomb Raider: Underworld","PS3","Action",1.26,75,42,71,166,"T"
"Star Wars: The Force Unleashed","PS2","Action",1.25,68,7,73,33,"T"
"Need for Speed: Most Wanted","X360","Racing",1.25,83,54,84,134,"T"
"Lara Croft Tomb Raider: The Angel of Darkness","PS2","Action",1.25,52,37,61,106,"T"
"Tom Clancy's Splinter Cell: Pandora Tomorrow","PS2","Action",1.25,87,45,85,34,"T"
"Ratchet: Deadlocked","PS2","Shooter",1.24,81,51,88,155,"T"
"Baldur's Gate: Dark Alliance","PS2","Role-Playing",1.24,87,29,82,90,"T"
"Oddworld: Abe's Oddysee","PS","Platform",1.24,85,10,89,96,"T"
"WWE SmackDown vs. Raw 2009","PS2","Fighting",1.24,78,9,68,34,"T"
"Star Wars Episode III: Revenge of the Sith","XB","Action",1.24,61,44,80,54,"T"
"Hyrule Warriors","WiiU","Action",1.23,76,81,82,662,"T"
"Guitar Hero: Aerosmith","X360","Misc",1.23,70,59,66,48,"T"
"Tales of Xillia","PS3","Role-Playing",1.22,78,65,81,468,"T"
"Call of Duty: Finest Hour","XB","Shooter",1.21,73,55,77,22,"T"
"Star Wars: Battlefront II","PSP","Shooter",1.21,69,22,84,111,"T"
"Super Street Fighter IV: 3D Edition","3DS","Fighting",1.21,85,69,80,206,"T"
"WWE 2K16","PS4","Sports",1.21,73,47,73,237,"T"
"Naruto Shippuden: Ultimate Ninja Storm 2","PS3","Fighting",1.21,76,34,82,130,"T"
"Medal of Honor: Airborne","PS3","Shooter",1.21,75,16,75,39,"T"
"The Lord of the Rings: The Fellowship of the Ring","PS2","Action",1.2,59,19,50,20,"T"
"The Sims 2: Castaway","Wii","Simulation",1.2,73,19,81,10,"T"
"Enter the Matrix","XB","Action",1.2,65,33,70,75,"T"
"Destiny: The Taken King","XOne","Shooter",1.19,89,11,51,393,"T"
"WWE SmackDown vs Raw 2008","PSP","Fighting",1.19,68,11,77,15,"T"
"Injustice: Gods Among Us","PS3","Fighting",1.18,78,37,78,282,"T"
"Shenmue","DC","Adventure",1.18,88,9,93,201,"T"
"One Piece: Pirate Warriors","PS3","Action",1.18,64,33,64,55,"T"
"WWE '12","PS3","Fighting",1.17,72,28,68,80,"T"
"Cabela's Dangerous Hunts","PS2","Sports",1.17,57,4,83,37,"T"
"WWE SmackDown vs. Raw 2010","PS3","Fighting",1.17,81,38,80,55,"T"
"Medal of Honor: Rising Sun","XB","Shooter",1.17,65,23,57,28,"T"
"Tom Clancy's Ghost Recon: Jungle Storm","PS2","Shooter",1.16,70,31,62,24,"T"
"Bushido Blade","PS","Fighting",1.16,83,13,78,16,"T"
"Mirror's Edge","X360","Platform",1.16,79,82,75,328,"T"
"Final Fantasy Tactics: The War of the Lions","PSP","Role-Playing",1.16,88,41,79,238,"T"
"Gauntlet: Dark Legacy","PS2","Action",1.15,73,15,82,30,"T"
"Medal of Honor Heroes 2","PSP","Shooter",1.15,69,20,72,30,"T"
"WWE 2K15","PS4","Sports",1.15,62,44,50,164,"T"
"Shadow of the Colossus","PS2","Action",1.14,91,77,90,933,"T"
"WWE 2K14","PS3","Sports",1.14,74,22,74,121,"T"
"007: Quantum of Solace","PS3","Action",1.14,65,42,65,47,"T"
"The Lord of the Rings: The Return of the King","XB","Action",1.14,84,31,90,31,"T"
"Mobile Suit Gundam: Federation vs. Zeon","PS2","Simulation",1.14,73,15,87,32,"T"
"Naruto Shippuden: Ultimate Ninja Storm 4","PS4","Fighting",1.14,79,60,81,201,"T"
"MechAssault","XB","Simulation",1.13,87,32,79,47,"T"
"Mirror's Edge","PS3","Platform",1.13,79,66,77,362,"T"
"Guitar Hero 5","X360","Misc",1.13,85,69,67,108,"T"
"SingStar","PS3","Misc",1.13,82,48,58,15,"T"
"Rocksmith","PS3","Misc",1.12,80,27,82,52,"T"
"Call Of Duty 2: Big Red One","XB","Shooter",1.12,78,46,50,27,"T"
"Rocksmith","X360","Misc",1.12,77,30,81,62,"T"
"Guitar Hero 5","PS2","Misc",1.12,71,4,25,10,"T"
"Spider-Man 2","XB","Action",1.12,83,60,82,40,"T"
"The Beatles: Rock Band","PS3","Misc",1.12,88,60,86,59,"T"
"Guitar Hero Encore: Rocks The 80s","PS2","Misc",1.11,69,50,62,31,"T"
"Rock Band","PS2","Misc",1.11,82,8,67,13,"T"
"WWE 2K14","X360","Sports",1.11,75,43,76,100,"T"
"Dragon Ball: XenoVerse","PS4","Fighting",1.11,69,50,76,598,"T"
"Tales of Symphonia","GC","Role-Playing",1.1,86,60,84,176,"T"
"Medal of Honor: Airborne","X360","Shooter",1.1,73,54,66,77,"T"
"Guitar Hero 5","PS3","Misc",1.09,86,54,56,87,"T"
"Untold Legends: Brotherhood of the Blade","PSP","Role-Playing",1.09,68,51,75,58,"T"
"Star Wars: Bounty Hunter","PS2","Shooter",1.09,65,32,82,33,"T"
"WWE SmackDown vs. Raw 2011","PS3","Fighting",1.09,74,42,68,41,"T"
"Skate 2","X360","Sports",1.09,84,70,79,72,"T"
"Empire: Total War","PC","Strategy",1.08,90,62,68,2981,"T"
"Virtua Fighter 5","PS3","Fighting",1.08,85,47,73,67,"T"
"Tom Clancy's Ghost Recon 2","PS2","Shooter",1.08,58,21,59,19,"T"
"Star Wars: The Force Unleashed","PSP","Action",1.08,70,10,80,49,"T"
"Dragon Ball Z: Taiketsu","GBA","Fighting",1.08,40,23,60,22,"T"
"Star Fox: Assault","GC","Shooter",1.08,67,59,80,106,"T"
"The Simpsons Game","PSP","Action",1.07,59,7,66,15,"T"
"Call of Duty 3","PS2","Shooter",1.07,82,14,73,83,"T"
"Prince of Persia","PS3","Action",1.07,85,59,72,245,"T"
"Tomb Raider: Underworld","X360","Action",1.07,76,57,65,198,"T"
"SoulCalibur III","PS2","Fighting",1.07,86,57,83,96,"T"
"Naruto: Ultimate Ninja Storm","PS3","Fighting",1.07,75,32,85,95,"T"
"Lightning Returns: Final Fantasy XIII","PS3","Role-Playing",1.07,66,62,58,552,"T"
"DJ Hero","X360","Misc",1.06,84,72,79,42,"T"
"Bully: Scholarship Edition","X360","Action",1.06,80,56,82,154,"T"
"Hulk","PS2","Action",1.06,71,28,82,22,"T"
"Overwatch","XOne","Shooter",1.06,91,18,55,668,"T"
"Seek and Destroy","PS2","Racing",1.06,63,9,87,10,"T"
"Mercenaries 2: World in Flames","X360","Shooter",1.06,72,69,71,152,"T"
"Warhawk","PS3","Simulation",1.06,84,50,83,183,"T"
"DiRT 3","PS3","Racing",1.06,87,52,70,122,"T"
"Call of Duty 4: Modern Warfare","DS","Shooter",1.05,75,22,68,36,"T"
"SOCOM: U.S. Navy SEALs Fireteam Bravo 2","PSP","Shooter",1.05,81,31,89,36,"T"
"The Simpsons: Road Rage","XB","Racing",1.05,61,17,82,6,"T"
"EA Sports UFC","PS4","Sports",1.05,70,57,60,279,"T"
"Legacy of Kain: Soul Reaver","PS","Action",1.04,91,17,89,132,"T"
"WWE SmackDown vs. Raw 2010","X360","Fighting",1.04,80,59,83,36,"T"
"Naruto: Clash of Ninja 2","GC","Fighting",1.04,74,22,88,39,"T"
"Need for Speed: Most Wanted","XB","Racing",1.04,83,32,87,29,"T"
"The Simpsons Game","X360","Action",1.03,71,52,76,71,"T"
"Brink","X360","Shooter",1.03,68,85,57,404,"T"
"UFC Undisputed 3","PS3","Action",1.03,86,30,73,92,"T"
"Tom Clancy's Ghost Recon Advanced Warfighter 2","PS3","Shooter",1.03,84,29,80,41,"T"
"The Legend of Zelda: Twilight Princess HD","WiiU","Action",1.03,86,74,83,329,"T"
"Street Fighter Alpha 3","PS","Fighting",1.03,93,12,84,46,"T"
"MotorStorm: Arctic Edge","PSP","Racing",1.02,79,58,87,39,"T"
"Dragon Ball Z: Budokai Tenkaichi 3","Wii","Fighting",1.02,72,27,83,61,"T"
"Tom Clancy's Ghost Recon Advanced Warfighter 2","X360","Shooter",1.02,86,58,80,89,"T"
"Rock Band 2","Wii","Misc",1.02,92,10,76,45,"T"
"Naruto: Clash of Ninja Revolution","Wii","Fighting",1.01,74,23,79,27,"T"
"Ace Combat 6: Fires of Liberation","X360","Simulation",1.01,80,54,78,101,"T"
"The Simpsons Game","Wii","Action",1.01,64,19,60,38,"T"
"Prince of Persia","X360","Action",1.01,81,73,69,189,"T"
"SoulCalibur II","XB","Fighting",1,92,39,88,54,"T"
"Dynasty Warriors 3: Xtreme Legends","PS2","Action",1,72,16,92,54,"T"
