"Name","Platform","Genre","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating"
"LEGO Harry Potter: Years 1-4","Wii","Action",2.43,79,13,79,34,"E10+"
"Need for Speed Carbon: Own the City","PSP","Racing",2.42,73,14,78,39,"E10+"
"Need for Speed: ProStreet","PS2","Racing",2.41,62,11,61,34,"E10+"
"Kinect: Disneyland Adventures","X360","Misc",2.35,73,33,28,67,"E10+"
"The Legend of Zelda: Majora's Mask 3D","3DS","Action",2.34,89,82,89,478,"E10+"
"LEGO Indiana Jones: The Original Adventures","Wii","Action",2.34,78,22,65,28,"E10+"
"NBA 2K16","XOne","Sports",2.34,86,14,61,115,"E10+"
"LEGO Star Wars: The Complete Saga","PS3","Action",2.29,80,18,66,87,"E10+"
"LEGO Harry Potter: Years 1-4","DS","Action",2.28,72,7,71,6,"E10+"
"Sonic's Ultimate Genesis Collection","PS3","Misc",2.26,80,35,85,43,"E10+"
"LEGO Marvel Super Heroes","X360","Action",2.22,80,37,75,127,"E10+"
"Need for Speed: Hot Pursuit","X360","Racing",2.2,88,73,69,206,"E10+"
"Scribblenauts","DS","Puzzle",2.16,79,72,75,110,"E10+"
"Sonic Unleashed","Wii","Platform",2.16,66,30,72,136,"E10+"
"Final Fantasy III","DS","Role-Playing",2.08,77,45,70,136,"E10+"
"Portal 2","X360","Shooter",2.08,95,66,84,997,"E10+"
"Need for Speed: Most Wanted 5-1-0","PSP","Racing",2.07,72,21,77,54,"E10+"
"Dance Dance Revolution: Hottest Party","Wii","Simulation",2.07,73,16,70,27,"E10+"
"Kingdom Hearts: Birth by Sleep","PSP","Role-Playing",2.06,82,62,85,208,"E10+"
"Need for Speed: ProStreet","X360","Racing",2.05,72,42,70,78,"E10+"
"Need for Speed: ProStreet","PS3","Racing",2.04,73,26,59,43,"E10+"
"Rayman Raving Rabbids: TV Party","Wii","Misc",2.03,73,24,76,29,"E10+"
"Just Dance 3","X360","Misc",2.02,70,34,76,17,"E10+"
"TouchMaster","DS","Puzzle",2,71,19,56,9,"E10+"
"Kingdom Hearts 358/2 Days","DS","Role-Playing",1.98,75,53,77,162,"E10+"
"Need for Speed Rivals","PS4","Racing",1.98,80,53,61,667,"E10+"
"Hot Shots Golf: Open Tee","PSP","Sports",1.96,81,57,86,34,"E10+"
"Burnout Paradise","PS3","Racing",1.94,87,55,76,455,"E10+"
